mc,dm
新桥街,270927
杨文路,002984
江杨北路,001806
张杨北路,027333
杨北路,002924
富杨路,007289
杨泰北路,002982
和平路,003509
张桥路,003060
罗店镇东南弄街,000763
外环路,031457
江桥镇南编外环路,020625
绥宁路,005796
陆家石桥曹家宅,010845
天中路,027205
薛弄底街,008834
翠钰路,008657
种德桥路,005308
广顺北路,027932
古北支路,010063
平溪路,027966
银珠路,006995
林泉路,024116
铁道路,005898
朱家角镇沪青平公路,290433
赵巷镇沪青平公路,290442
青浦镇沪青平公路,290473
徐泾镇老沪青平公路,290327
金泽镇沪青平公路,290435
沪青平公路,290471
西岑镇沪青平公路,290443
沪青平公路,002541
环城镇沪青平公路,290437
徐泾镇沪青平公路,290431
姚虹西路,005240
建设镇虹桥村斜桥,301425
虹桥镇路,004652
虹桥路,004648
虹桥公路,028853
虹桥镇新桥村,008048
金泽镇虹桥港路,290693
朱家角镇虹桥路,290702
虹桥弄,004650
虹桥镇虹六村,004640
嘉定工业区虹桥村,021417
北蔡镇虹桥南街,011132
虹桥镇先锋村,024712
虹桥镇虹四村,024713
建设镇虹桥村,301419
虹桥镇虹五村,004658
虹桥机场新村,009097
虹桥镇虹桥村,024710
枫泾镇虹桥湾路,280595
虹桥镇红春村,001624
虹桥镇虹二村,024711
虹桥镇井亭村,000327
川沙镇虹桥村,004646
虹桥镇西郊村,001992
北蔡镇虹桥北街,011130
华山路,001710
山阳镇华山路,280338
兴国路,002092
西诸安浜路,002060
泾力西路,027946
可乐东路,027954
蓝宝石路,007791
万山路,009246
宁康路,027962
蒲淞南路,007826
水城南路,000383
荣华东道,005135
空港八路,027244
空港二路,027238
空港五路,027241
空港七路,027243
空港一路,027237
空港三路,027239
空港六路,027242
庄行镇西街西汪家弄,260470
西陶浜路,030389
临虹路,027956
古北南路,010065
古北路,010061
古北支路,010063
赵巷镇垂姚村,290532
叶榭镇徐姚村圣渡,273202
金泽镇金姚村,290588
重固镇徐姚村徐园,290856
石湖荡镇新姚村新村,270905
叶榭镇徐姚村泖泾,273201
新姚村新民,291064
重固镇徐姚村姚联,290762
叶榭镇徐姚村徐界泾,273203
潘姚村,011846
书院镇余姚村,250566
叶榭镇徐姚村竹山,273205
石湖荡镇新姚村新姚,270935
叶榭镇徐姚村姚王,273204
北蔡镇潘姚村,024253
姚村路,028833
新姚村姚泾,290760
友乐路,030391
联虹路,030386
迎宾一路,027245
惠南镇游泳池路,250976
凯旋南路,027950
凯旋路,003727
青村镇凯旋新村,260699
凯旋一村,024020
凯旋北路,006257
二纺老工房,000011
南翔镇上机工房,020347
油库工房,011061
一纺老工房,000002
二纺新工房,024912
南翔镇铁路工房,020346
城桥镇鳌山路,300181
小南码头路,000191
朱泾镇码头路,280541
南码头路,004918
虬江码头路,002717
王家码头路,000439
宝岛路,303402
瀛洲路,303428
崇明大道,303381
定澜路,303431
涛声路,303486
堡镇堡港路,300323
堡镇福利路,300347
庄行镇福利路,261053
枫泾镇兴福利路,280661
堡镇堡南支路,300327
堡镇堡兴路,300329
堡镇堡镇北路,300333
陈海公路,300106
陈海公路三星段,303001
堡镇工农路,300253
张江镇工农路,010180
工农路,270053
新场镇工农路,250050
堡镇达山路,300283
柘林镇市场路,260326
白鹤镇市场路,290268
市场路,024947
四团镇市场路,262622
民东路,000983
徐泾镇徐民东路,291164
惠南镇人民东路,252051
奉城镇人民东路,260033
堡镇长岛南路,300257
堡镇长岛中路,300259
凤凰公路,000289
城桥镇朝阳门路,300143
城桥镇崇安路,300137
城桥镇西引路,300073
城桥镇三沙洪路,300017
城桥镇川心街,300007
城桥镇酱园弄,300157
新河镇康复路,300457
崇州路,303416
城桥镇鼓浪屿路,300155
鼓浪屿路,303132
南门支路,303137
城桥镇小西泯沟,300021
城桥镇新崇东路,300163
城桥镇元宝弄,300035
城桥镇富民街,300147
城桥镇兴贤街,300077
城桥镇庙弄,300105
城桥镇马皇庙弄,300013
庙弄,260709
利民路,002614
城桥镇利民路,300085
惠南镇利民路,250508
城桥镇东小港,300053
城桥镇大陈路,300009
城桥镇大塘街,300011
团城公路,303118
城桥镇岱山路,300099
城桥镇官山路,300101
电厂路,000674
城桥镇一江山路,300001
城桥镇康民路,300141
城桥镇万安仓街,300019
高岛路,303139
城桥镇花鸟路,300081
南引河路,303413
三灶镇丰乐村,250148
横沙乡丰乐村,000306
丰乐路,000593
凤滨路,000282
港机新村,007290
长兴镇凤凰街,303312
长兴乡凤凰街,303106
长兴乡丰产村,000299
新港镇丰产村,250146
长兴镇丰产村,303310
长兴镇海舸路,303315
长兴乡海舸路,303203
凤卫路,000294
凤西路,000295
川沙镇水闸南路,010330
星火农场水闸老村,260157
机场镇水闸北路,010328
大团镇水闸新村,251156
惠南镇水闸桥路,250189
中港水闸路,269814
机场镇水闸南路,024181
祝桥镇水闸河路,250188
奉城镇水闸路,260155
跃进农场水闸生活区,301486
水闸路,000392
施湾镇水闸北路,024184
施湾镇水闸南路,024185
南桥镇水闸新村,260159
港镇路,007294
新港镇路北村,250994
丰乐路,000593
新盟路,303426
港镇支路,007296
堡镇光明街,300285
凤来路,303348
凤舞路,303346
佘山岛路,303430
黄渡镇西横街,021826
锦辉路,303405
横沙乡锦霞路,303200
堡镇龙岗路,300271
煤场路,007805
