mc,dm
太平路,270177
松江镇太平路,000394
秦关路,005786
东交通路,000739
沙泾港路,002749
东沙虹港路,000773
沙虹路,002744
泾东路,003680
横泾东路,008686
徐泾镇徐泾东路,290797
斗台街,000275
峨嵋路,005470
茂林路,003820
东余杭路,000790
余杭路,003018
虹镇北街,004664
福德路,007736
海拉尔路,005634
龚家宅路,006624
华亭东华路,031127
东华路,000732
贯中路,003466
新市路,008056
华新新市路,272777
华新镇新市路,291072
广秀路,031008
嘉定镇南何家宅,020164
嘉定镇何家宅,020165
东嘉兴路,000733
金田路,003679
同嘉路,001930
彭泽路,007428
河滩西路,003540
西横浜路,001978
三河路,000107
厚德路,004684
太平桥支路,000396
太平桥路,000395
景祥路,027947
芷江支路,003080
东沙虹港路,000773
五台路,000461
柘皋路,005272
东新民路,000785
南天潼路,004972
蟠龙街,008898
秦皇岛路,005788
庆阳路,001892
新广路,007968
祥德东路,005959
如皋路,001902
张家巷路,003052
香烟桥路,005208
永明路,001319
新乡路,008074
四达支路,001191
四平支路,001199
太平桥支路,000396
陶家湾路,005854
腾克路,008733
天宝支路,000401
新农镇幸福村,280558
朱泾镇幸福村,281404
朱泾镇幸福村长浜,281405
吴泾镇幸福村,026014
奉城镇幸福村,260719
塘湾镇幸福村,024719
幸福村,004032
惠南镇幸福村,250664
江桥镇幸福村,021949
花木镇幸福村,024268
天德路,000402
天虹路,027981
同煌路,027613
南桥镇江海南路,262270
海南西弄,005646
海南路,005644
江海南路,263066
惠南镇靖海南路,253526
榆兰新村,008114
东嘉兴路,000733
嘉兴路,008370
邢家桥南路,002086
邢家桥北路,002088
颜家洼路,008738
杨家浜路,002946
北杨家宅路,000668
杨家宅路,002964
东杨家宅路,000788
西杨家宅路,002048
安平街,001486
福民街,007752
安仁街,001487
保仁弄,004508
梧桐路,006980
南硝皮弄,004994
老硝皮弄,001850
硝皮弄,007478
杨家栅路,002962
外郎家桥街,001252
如意街,001906
豆市街,002476
外马路,001254
白河路,000604
白衣街,000614
长生街,000248
旧仓街,000847
百翎路,001524
凝晖路,008822
旧校场路,000850
柏枝弄,004502
乔家栅,001886
半径园弄,001366
望达路,006970
苗江路,003846
宝带弄,003311
云南中路,000509
北京西路,000641
北京东路,000640
北京西路,000641
北京东路,000640
