road_name
爱辉路
呼玛路
长江西路
共江路
一二八纪念路
蕰藻浜
呼兰路
安达路
鹤岗路
南泗塘河
逸仙路
安家路
德都路
庆安路
安淞路
八棉新村
淞滨支路
弄内
八棉一村通道
淞兴西路
淞滨路
白沙园路
江杨北路
杨泰路
月城路
班溪路
淞兴路
淞浦路
宝东路
宝杨路
海江路
永乐路
双城路
宝钢六村北通道
盘古路
市河六村桥
宝钢三村通道
宝钢三村大门
牡丹江路
宝钢十一村通道
团结路
宝钢五村通道
友谊路
宝钢五村
宝林八村通道
东林路
密山东路
宝林二小通道
北翼商业街通道
宝林路
宝林六村通道
宝林六村垃圾房
友谊支路
子青路
区政府部门大院
宝林七村通道
宝林一村通道
宝泉路
龙镇路
四元路
宝山区房地产交易中心北辅通道
岗亭
宝山区房地产交易中心通道A
宝山区房地产交易中心通道B
宝山区房地产交易中心通道C
宝山区房地产交易中心通道D
宝山区房地产交易中心通道E
宝山五村通道
新思致公寓
双庆路
狮子桥
同济路
北安路
马路河桥
北街
赵巷街
塘西街
北康路
三泉路
长临路
北兴路
泰和路
和丰路
和丰路南围墙
布长街
韩家湾路
亭前街
昌北路
长江路
煤气厂桥
长江南路
军工路
西塘桥
西赵家宅
虎林路
通河路
共和新路
江杨南路
西新桥
东茭泾桥
康宁路
大康路
长康路
通河八村
南薀藻路
场北路
共康路
呼兰西路
南蕰藻路
长逸路
淞南路
淞良路
凇肇路
淞肇路
兴淞桥
长樱路
杨盛河桥
蕰川路
长征新村通道
长证新村幼儿园
纪薀路
康文路桥
场联路
环镇北路
场联路桥
洛场路
陈东路
新川沙路
陈川路
春雷路
春雷路桥
绥化路
大华二路
大华路
真华路
新沪路
大华一路
新村路
汶水路
行知路
华灵路
大华三路
花园宅路
月罗公路
老马路河桥
新马路河桥
富锦路辅道
邓家弄
水果弄
电台南路
沪太路
幸福路
漠河路
东南弄
市一路
竹巷街
东升路
东西巷街
罗店新街
罗太路
东朱路
小川沙河小朱桥
潘泾路
鄂尔多斯路
环镇南路
南何支线
方正路
西门街
富长路
联谊路
共富路
外环线
富锦路
北泗塘河桥
克东路
铁力路
富乐路
富乐支路
老蕴川公路
月罗路
富南路
富长路富南苑
东太路
杨南路
高境路
殷高西路
恒高路
一二八纪念东路
高逸路
铁路南何支线
殷高路
联泰路
蕰川路西辅道
共康东路
阳泉路
阳曲路
岭南路
部队弹药库围墙
刘场路
